관리번호,대피소 명칭,대피소 상세주소,면적,수용가능최대인원,수용가능인원,행정동 코드,행정동 명칭,비고,구
47398,도곡2문화센터,도곡2동 459 (남부순환로 남25길34-9),,350,0,11680656,도곡2동,,강남구
47399,대신초등학교,대현동 67-1,,65,0,11410585,신촌동,,서대문구
47400,당산2동 주민센터,당산동6가 305-4,,15,0,11560560,당산2동,,영등포구
47401,영등포고등학교,대방동 13-2,,1000,0,11590660,대방동,,동작구
47402,영도중학교,목4동 735(고목4길 3),,956,0,11470540,목4동,,양천구
47403,일심 경로당,화곡8동 878-3,,28,0,11500593,화곡8동,,강서구
47404,고척초등학교,,,0,0,11530720,고척1동,,구로구
47405,양동중학교,목3동 600-6(한두3길 57),,443,0,11470530,목3동,,양천구
47406,신길3동구립경로동,신길동 290-8,,50,0,11560650,신길3동,,영등포구
47407,한민교회,성내2동 218-17,,0,0,11470570,신월2동,,양천구
47408,곰달래경로당,신월1동 221-22(남부순환로63길16-4),,39,0,11470560,신월1동,,양천구
47409,신월중학교,신월5동 17-6(배움길 31),,330,0,11470600,신월5동,,양천구
47410,우장초등학교,화곡동 18-5,,650,0,11500615,우장산동,,강서구
47411,계남초등학교,신정7동 325-7(느티나무길 54),,220,0,11470680,신정7동,,양천구
47412,예촌 경로당,화곡1동 425-9,,114,0,11500540,화곡1동,,강서구
47413,가산중학교,독산동 300-21 (시흥대로 115길 48),,5507,0,11545610,독산1동,,금천구
47414,당산천주교회,당산동3가 79,,1181,0,11560550,당산1동,,영등포구
47415,구립대림1경로당,대림동 899-2,,50,0,11560700,대림1동,,영등포구
47416,서울공업고등학교,대방동 390-5,,1000,0,11590660,대방동,,동작구
47417,강월초등학교,신월7동 987-3(신월로 300),,230,0,11470611,신월7동,,양천구
47418,신목고등학교,신정6동 330-3(안양천길 536),,316,0,11470670,신정6동,,양천구
47419,신곡 경로당,화곡4동 466-9,,157,0,11500570,화곡4동,,강서구
47420,영동초등학교,당산동 121-22,,1133,0,11560560,당산2동,,영등포구
47421,도림동 주민센터,도림동 도영로7길 10,,40,0,11560585,도림동,,영등포구
47422,양원초등학교,신월3동 40-1(화곡로435-6),,1492,0,11470580,신월3동,,양천구
47423,화친 경로당,화곡4동 792-9,,29,0,11500570,화곡4동,,강서구
47424,가곡초등학교,내발산동 153-7,,500,0,11500611,발산1동,,강서구
47425,덕산중학교,신사1동 265-4,,1620,0,11380631,신사1동,,은평구
47426,목동중학교,신정2동 88-1(목동동로 142),,396,0,11470630,신정2동,,양천구
47427,구립양평1동경로당,양평동1가 205,,10,0,11560610,양평1동,,영등포구
47428,가산초등학교,독산1동 143-23 (남부순환로 1304-11),,1486,0,11545610,독산1동,,금천구
47429,신정사회복지관,신정4동 904-4(신정중앙길 31),,220,0,11470650,신정4동,,양천구
47430,신구로초등학교,구로동 105,,0,0,11530560,구로5동,,구로구
47431,상지초등학교(체육관),월드컵로 42길(상암동),,300,0,11440740,상암동,,마포구
47432,새샘교회,홍제동 20-4,,100,0,11410655,홍제2동,,서대문구
47433,한강중앙교회,포은로2가길 66(합정동),,130,0,11440680,합정동,,마포구
47434,서울성산초등학교,양화로3길 94(합정동),,200,0,11440680,합정동,,마포구
47435,상도1동경로당,상도동 159-282,,20,0,11590530,상도1동,,동작구
47436,상도초등학교,상도동 238-2,,1300,0,11590560,상도4동,,동작구
47437,학동초등학교,논현2동 264-7 (선릉로 서37길42),,2103,0,11680531,논현2동,,강남구
47438,성산1동주민센터,성산로4길 15(성산동),,122,0,11440720,성산1동,,마포구
47439,본동초교,노량진동 133,,739,0,11590510,노량진1동,,동작구
47440,방배2동 주민센터,방배2동 462-13,,0,0,11650610,방배2동,,서초구
47441,종합행정타운,이태원 34-87,,6720,0,11170650,이태원1동,,용산구
47442,마포삼성@경로당,도화길 28(도화동),,30,0,11440585,도화동,,마포구
47443,서울삼성초등학교,대학동 233-1,,464,0,11620735,대학동,,관악구
47444,금화초등학교,천연동 13,,165,0,11410520,천연동,,서대문구
47445,경문고등학교,사당동 산4-2,,2000,0,11590630,사당2동,,동작구
47446,대신고등학교,행촌동 171 (사직로 9),,1470,0,11110580,교남동,,종로구
47447,혜화초등학교,혜화동 13-1 (혜화로 32),,450,0,11110650,혜화동,,종로구
47448,서울 서래 초등학교,방배로 260,,0,0,11650590,방배본동,,서초구
47449,남정초등학교,원효2가 54-1,,300,0,11170560,원효로1동,,용산구
47450,응암초등학교,응암3동 7-40,,1484,0,11380600,응암3동,,은평구
47451,제일감리교회,흑석동 80-3,,100,0,11590605,흑석동,,동작구
47452,봉천종합사회복지관,관악로 254,,600,0,11620545,청림동,,관악구
47453,연희초등학교,연희동 88-1,,262,0,11410615,연희동,,서대문구
47454,여의도초등학교,여의도동 40-3,,894,0,11560540,여의동,,영등포구
47455,사당1동주민센터,사당동 105-12,,100,0,11590620,사당1동,,동작구
47456,서부성결교회,이촌동 208-1,,40,0,11170640,이촌2동,,용산구
47457,서울 이수 중학교,방배2동 974-22(방배중앙로3길 32),,0,0,11650610,방배2동,,서초구
47458,서울공덕초등학교,만리재옛길 13(공덕동),,295,0,11440555,아현동,,마포구
47459,서교초등학교,와우산로23길 20-27,,1490,0,11440660,서교동,,마포구
47460,국사봉중학교,상도동 214-437,,700,0,11590560,상도4동,,동작구
47461,봉현초등학교,성현로 117,,120,0,11620565,성현동,,관악구
47462,중앙고등학교,,,0,0,11110600,가회동,,종로구
47463,천주교 외방선교회,성북동 1가 20,,800,0,11290525,성북동,,성북구
47464,보인고등학교,오금동 162,,800,0,11710570,오금동,,송파구
47465,광양중학교,자양2동 674,,0,0,11215830,자양2동,,광진구
47466,명일1동 주민센터,강동구 명일동 327-5,,0,0,11740530,명일1동,,강동구
47467,구민회관,돈암2동 606-275,,50,0,11290590,돈암2동,,성북구
47468,우이제일교회,우이동 139-10 (삼양로163길 63),,203,0,11305645,우이동,,강북구
47469,쌍문4동주민센터,쌍문4동 59-7 (시루봉로 62-7),,431,0,11320681,쌍문4동,,도봉구
47470,개포초등학교,개포2동 188 (영동대로 서98길45),,2000,0,11680670,개포2동,,강남구
47471,성동세무서,,,0,0,11200720,송정동,,성동구
47472,수산교회,중화2동 316-30(중앙역로 35-1),,57,0,11260610,중화2동,,중랑구
47473,방이중학교,방이2동 53,,6000,0,11710562,방이2동,,송파구
47474,가락초등학교,,,0,0,11710631,가락1동,,송파구
47475,성수초교,성수2가 277-32(발전1길 31),,248,0,11200690,성수2가3,,성동구
47476,잠신초등학교,,,0,0,11710670,잠실2동,,송파구
47477,태화기독교종합 사회복지관,수서동 741 (광평로 185),,1300,0,11680720,일원본동,,강남구
47478,잠실중학교,신천동 7-1,,1300,0,11710710,잠실6동,,송파구
47479,동안교회,이문동 346-99,,0,0,11740650,성내2동,,강동구
47480,서울사대부속여중,동숭동 199 (대학로 64),,1237,0,11110640,이화동,,종로구
47481,대광고등학교,신설동 53-3,,0,0,11230536,용신동,,동대문구
47482,정릉초등학교,정릉4동 798,,2390,0,11290650,정릉4동,,성북구
47483,마천초등학교,마천동 183-4,,3380,0,11710540,마천1동,,송파구
47484,학마을다사랑센터,방학3동446-5 (시루봉로 128),,1279,0,11320710,방학3동,,도봉구
47485,압구정초등학교,압구정동 461 (압구정로 북26길29),,4242,0,11680545,압구정동,,강남구
47486,보성중고등학교,방이동 89-22,,4300,0,11710566,오륜동,,송파구
47487,길동초등학교,길동 362,,0,0,11740685,길동,,강동구
47488,동명초교,마장동 556(동명초등길 55),,300,0,11200540,마장동,,성동구
47489,안암초등학교,안암동 2가 93,,1000,0,11290600,안암동,,성북구
47490,장위1동 주민센터,장위1동 255-100,,60,0,11290760,장위1동,,성북구
47491,서울가인초등학교,창5동 224-20 (도봉로 136다길 4),,3136,0,11320515,창5동,,도봉구
47492,남현교회,개봉동 170-1,,0,0,11710600,석촌동,,송파구
47493,거여초등학교,오금동 108,,1200,0,11710570,오금동,,송파구
47494,잠실여자고등학교,송파2동 179,,1500,0,11710590,송파2동,,송파구
47495,명일초등학교,암사1동 418-18,,0,0,11740570,암사1동,,강동구
47496,천주교살레시오회,신길동 4491,,1363,0,11560670,신길5동,,영등포구
